,#1 String,#2 String,label
10638,"Also today, a bomb explosion in a Baghdad traffic tunnel killed one civilian and wounded two others, Iraqi police said.","The rate of survival without serious brain damage is about 10 percent, said Bossaert, a professor at the University Hospital in Antwerp, Belgium.",0
756,"His decision means that the case against Gary Lee Sampson, including the capital charges against him, will be tried in September.","That means the case against Gary Lee Sampson, including the capital charges, will now to trial in September.",1
7822,"The layoffs at Eddie Bauer headquarters were dispersed across the company and at all levels, spokeswoman Lisa Erickson said.","The eliminations at Eddie Bauer come at all divisions and levels of the company, said Eddie Bauer spokeswoman Lisa Erickson.",1
4439,"But Nelson claims he did it because he was drunk on beer, not because Rosenbaum was jewish.","Those two witnesses say that Nelson confessed to killing Rosenbaum, but claimed he did it because he was drunk on beer.",1
2210,Maria de Jesus Quiej Alvarez and Maria de Teresa Quiej Alvarez did not leave the private jet during a stop for customs inspection at Brown Field.,Maria de Jesus Quiej Alvarez and Maria de Teresa Quiej Alvarez arrived at the airport in separate ambulances.,1
1978,"In fiction: Edward P. Jones (""The Known World"") and Scott Spencer (""A Ship Made of Paper"").","The fifth nominee for fiction is Scott Spencer, for A Ship Made of Paper.",1
6906,Sources within the racing industry have told the Daily Bulletin that Fontana will get a second NASCAR race on Labor Day weekend starting next season.,"The combined companies' commercial and personal lines will be consolidated under the Travelers brand and will be based in Hartford, Conn., Travelers' current headquarters.",0
2628,Two federal agencies are investigating telecommunications gear maker Lucent Technologies for possible violations of U.S. bribery laws in its operations in Saudi Arabia.,"The EU statement stopped short of endorsing the U.S. charge that Tehran is seeking nuclear weapons but said some aspects of Iran's programme raised ""serious concern"".",0
4674,"Three each came from Africa, Asia and Latin America.","But 62% of Catholics live in Africa, Asia and Latin America.",1
694,But the country is scrambling to prevent it spreading to the vast countryside where most of its 1.3 billion people live.,"China is scrambling to stop the disease from spreading to the countryside, where most of its 1.3 billion people live.",1
9863,"Currently, about 37,000 U.S. troops are stationed in South Korea.","There are 100,000 U.S. troops in Asia, most of them in South Korea and Japan.",1
6421,The Conference Board reported its U.S. Consumer Confidence Index slipped to 83.5 in June from 83.6 in May.,"The consumer-confidence index came in at 83.5 in June, down slightly from a revised 83.6 in May, the Conference Board said.",1
3016,Mitzna and party secretary Ophir Pines agreed to convene party organizations within 10 days to discuss whether new primaries would be held or a temporary leader appointed.,"Last week, a national study ranked Nissan's Smyrna plant the most productive in North America.",0
5271,Oracle followed with 33.8 percent of the market and Microsoft came in third with an 18 percent share.,"IBM ranked second with 24 percent share there, and Microsoft ranked third.",1
10241,"""Fewer than 10"" FBI offices have conducted investigations involving visits to mosques, the Justice Department said.","In Baghdad, police Lieut. Mothana Ali said about 1,000 demonstrators arrived at the station demanding jobs.",0
5236,"Minister Saud al-Faisal's visit was disclosed by two administration officials, who spoke on condition of anonymity.","""They were chipping away at the concrete to get to the body,"" said Chris Butler, who lives across the street.",0
10562,"PeopleSoft, of Pleasanton, California, said the deal would increase its 2004 earnings, excluding amortization and other items.",This Palm OS smart phone is the last product the company will release before it becomes a part of palmOne.,0
1981,"The life expectancy for boys born in 2001 was 74.4 years, up two years since 1990.","According to the report, average life expectancy has increased by nearly two years since 1990.",1
3305,Optima first registered www.optimatech.com with Network Solutions at the end of 1990.,Network Solutions returned the domain name back to Optima in 2001.,1
4731,"The Midwestern research center will focus on the development of diagnostic, therapeutic and vaccine products for anthrax, botulism, tularemia, hemorrhagic fever viruses and plague.","""He died doing something he loved,"" William Dusenbery, Sr., who lives in Fairview Heights, just outside St. Louis, Mo.",0
1427,"Druce is still being held at the prison and is now in isolation, she said.",Druce last night was held in isolation at the same prison.,1
2360,Rolfe said Linksys overtook Cisco Systems last year as the leading supplier of WLAN equipment.,"""It's a blond-haired woman wearing a Cartier watch on her wrist,"" the source said.",0
6181,The National Association of Purchasing Management-Chicago's factory index increased to 58.9 from 55.9 in July.,"The National Association of Purchasing Management-Chicago's monthly index rose to 58.9 from 55.9 in July, the highest in 15 months.",1
3547,"On a planet that takes nearly 165 years to orbit the sun, spring can last more than 40 years.","Brian Florence, 38, died Sept. 25 of a heart attack in Alexandria, said the couple's lawyer, Maranda Fritz.",0
8957,"It got up on his personal radar screen this past week, I've given him my pitch and he was quite supportive,"" he said.","""It got up on his personal radar screen in the past week, and I had to get my pitch.",1
7899,"Authorities identified the tipster as Richard Powell, who is imprisoned for killing his landlady in 1982.","Computer Associates, EMC, IBM, Sun Microsystems, and VERITAS are also onboard to support the storage standard.",0
7593,Malvo was in the courtroom for about two minutes yesterday to allow a prosecution witness to identify him.,Jim Furyk celebrated his first Father's Day as a father by winning his first major golf championship.,0
4605,"""It was to fly a plane into the White House,"" Mr. Karas said.","But JT was careful to clarify that it was ""not certain about the outcome of the discussion at this moment"".",0
6750,"Even if the Senate approves the proposals, they would require the support of the Democrat-led Assembly and Gov. George Pataki to become law.",The value of the deal has increased since BP first announced it in February.,0
4459,A Microsoft spokesman was not immediately available to comment.,It can store more than a gigabyte of information equivalent to around 12 hours of music in one cubic centimetre.,0
2034,Its second-quarter earnings per share of 22 cents was slightly better than analysts' estimates of 19 cents a share and more than double its prediction in April.,But an earnings per share of 22 cents was slightly better than analysts' estimates of 19 cents a share and more than double what Ford had predicted in April.,1
1237,"An hour later, an Israeli helicopter fired missiles at a car in Gaza City, killing two Hamas officials and at least five other people.","While Mr. Qurei is widely respected and has a long history of negotiating with the Israelis, he cannot expect such a warm welcome.",0
6427,"Axcan's shares were down 3.8 percent, or 66 Canadian cents, at C$16.90 in Toronto on Tuesday.",It's the first such drill since the September 11 terrorist attacks on New York and Washington.,0
2184,"UAL attorney James Sprayregen told a court hearing yesterday that it would submit a fresh business plan, but gave no indication of when.","The t33kid.com site is registered to Parson at an address in Hopkins, Minnesota.",0
9478,"He wounded a security guard and then fled, stabbing two passersby as he ran off along the promenade.","Against the dollar, the euro rose as high as $1.1535 -- a fresh four-year high -- in morning trade before standing at $1.1518/23 at 0215 GMT.",0
1713,Pollack said the plaintiffs failed to show that Merrill and Blodget directly caused their losses.,"Basically, the plaintiffs did not show that omissions in Merrill's research caused the claimed losses.",1
8521,"The four suspects are scheduled to appear in court Tuesday or Wednesday, said Philip Murgor, Kenya's deputy public prosecutor.","All four are expected to appear in court Tuesday or Wednesday, he said.",1
5438,U.S. forces recently apprehended some 40 suspected foreign militants near the Syrian border and are now interrogating them.,"Major fires had burned 264,000 acres by early last night.",0
8565,The first vulnerability is a buffer overrun that results from IE's failure to properly determine an object type returned from a Web server.,"First up, Microsoft said a buffer overrun vulnerability occurs because IE does not properly determine an object type returned from a Web server.",1
4541,Only the Intel Corporation has a lower dividend yield.,"Family and friends of the west Belfast man insist he was in the West Bank on a ""cultural visit"".",0
1457,"Terri Schiavo, 39, suffered severe brain damage following a heart attack 13 years ago.",She suffered severe brain damage following a heart attack in 1990.,1
5851,"The man wasn't on the ice, but trapped in the rapids, swaying in an eddy about 250 feet from the shore.","The man was trapped about 250 feet from the shore, right at the edge of the falls.",1
7701,"PC-related products were the strongest sellers, with microprocessors up 5.6 percent and DRAMs up 8.2 percent, the SIA said.","In July, PC-related products were the strongest sector with microprocessors up 5.6 per cent and DRAMs up 8.2 per cent over June.",1
8449,"State air regulators and three automakers have settled a lawsuit challenging the nation's toughest auto emissions program, a spokesman for California's air board said Monday.","""SCO has not shown us any evidence that we've violated our agreements in any way,"" IBM spokesperson Trink Guarino told internetnews.com.",0
1643,"But he is the only candidate who has won national labor endorsements so far, picking up his 11th union on Tuesday when the United Steelworkers of America endorsed him.","In midday trading, the Dow Jones industrial average lost 68.84, or 0.7 percent, to 9,248.80.",0
7685,"""I go to their website and start complaining to them, would you please, please, please stop bothering me,"" Mr. Booher told a reporter.","Gilroy police and FBI agents described Gehring as cooperative, but said Saturday that he had revealed nothing about what had happened to the children.",0
3344,"Justice John Paul Stevens compared the interrogation to ""an attempt to obtain an involuntary confession from a prisoner by torturous methods.""","Also Tuesday, the United States also released more Iraqi prisoners of war, and officials announced that all would soon be let go.",0
3463,"The Standard Edition is $15,000 per processor or $300 per named user.","With Smithfields leadership, Farmland Foods will succeed and continue to sustain the Midwestern communities which depend on it.",0
1061,"We firmly believe we have an absolute right to use the common word 'spike' as the name of our network.""",We firmly believe that we have an absolute right to use the common word 'spike' to name our network.,1
5550,"SSE shares were little changed, up 0.3 percent at 654 pence by 1018 GMT, but analysts welcomed the move.","Still, the FBI said in the report released Monday, the number of reported rapes rose by 4 percent and the number of murders grew by 0.8 percent.",0
9129,"The computers were located in the United States, Canada and South Korea, he said.","Rich Media interactive ad formats doubled their share from 3% in second quarter of 2002, to 6% in the second quarter of 2003.",0
1254,"The broader Standard & Poor's 500 Index .SPX slipped 0.13 points, or just 0.01 percent, to 966.87.","The technology-laced Nasdaq Composite Index .IXIC crept up 5.05 points, or 0.32 percent, at 1,595.80.",1
952,"The benchmark 10-year note US10YT=RR slipped 16/32 in price, sending its yield to 4.48 percent from 4.42 percent late on Thursday.",The yield on the 10-year Treasury note rose to 4.46% from 4.42% late Thursday.,1
8542,The three-story brick building has apartments on the upper floors and the Snack Bar and Café downstairs.,The three-story brick building houses apartments in the upper floors and the Snack Bar and Caf on its downstairs.,1
3038,The numbers highlight a conundrum: the difficulty of classifying racial and ethnic categories in an increasingly fluid and multi-ethnic society.,"Witnesses from Malaysia will testify Thursday in the treason trial of cleric Abu Bakar Bashir, said to be the leader of terrorist group Jemaah Islamiyah.",0
11249,"By 10 p.m., Claudette was centered about 320 miles east of Brownsville, with maximum sustained winds of 65 mph, 9 mph shy of hurricane strength.","Early Monday, the center of Claudette was about 300 miles east of Brownsville, with maximum sustained wind blowing at 65 mph, 9 mph shy of hurricane strength.",1
1118,"Still others cite the difficulty of assembling a group of subjects whose depression is of comparable severity, increasing the chances that the effectiveness of the medication will be diffused.","Still others cite the difficulty of assembling a group of subjects whose depression is of comparable severity, a problem that complicates the task of properly measuring effectiveness.",1
9033,The FTC also asked the judge to suspend his ruling pending its appeal.,Three men and two women who were at the property were arrested under Section 41 of the Terrorism Act 2000.,0
5257,"The Memory Stick Pro Duo card will be theoretically able to transfer data at a rate of up to 20 megabytes per second under optimal conditions, according to Sony.","It will theoretically be able to transfer data at a rate of up to 20 megabytes per second under optimal conditions, according to Sony.",1
1595,"Stealing identities and credit card numbers with bogus e-mail and websites that appear to come from legitimate companies is an increasing problem on the Internet, federal officials warned Monday.","Annan said terrorism would only be defeated ""if we act to solve the longstanding conflicts which generate support for it.""",0
7301,"The governor said budget cuts in mental health care would cut services to 5,800 developmentally disabled Missourians.",Shares of Bristol-Myers rose to $28 in electronic trading from the $26.90 close on the New York Stock Exchange.,0
9735,"AAA spokesman Jerry Cheske said prices may have affected some plans, but cheap hotel deals mitigated the effect.","AAA spokesman Jerry Cheske said prices might have affected some plans, but cheap hotel deals made up for it.",1
9488,"There is no transcript the courtroom session in Tarrytown, 12 miles north of New York on the Hudson River.","There was no transcript of Thursday's courtroom session in Tarrytown, which is 12 miles north of New York City on the Hudson River.",1
7608,Australia's 9 million income taxpayers received surprise tax cuts of between $3 and $11 a week from Treasurer Peter Costello last night.,"The broader Standard & Poor's 500 Index .SPX climbed 17.08 points, or 1.74 percent, to 998.68.",0
10224,"""It's clearly a tragic day for America,"" Defense Secretary Donald H. Rumsfeld said in Washington.",The warning was the most serious the 15-nation bloc has sent Iran since they began negotiating a trade and cooperation agreement late last year.,0
9966,"Joe Nichols, who is touring with Jackson, captured new male vocalist honors, riding back-to-back hits The Impossible and Brokenheartedsville.",Perkins and Kansas Chancellor Robert Hemenway declined comment Sunday night.,0
3429,"The Department of Foreign Affairs yesterday updated its travel warning on Indonesia, recommending all non-essential travel be deferred because of concerns that more terrorist attacks were planned.",The deficit is still expected to top $500 billion in 2004 -- even with an improving economy.,0
10493,"The Dow Jones industrial average .DJI added 47.9 points, or 0.52 percent, to 9,174.35.","Shares of USA Interactive rose $2.28, or 7 percent, to $34.96 on Friday in Nasdaq Stock Market composite trading and have gained 53 percent this year.",0
9115,"The matriarch - who celebrates her 81st birthday next month - was yesterday thanked for her generosity by model and actor Sarah O'Hare, the National Breast Cancer Foundation patron.","The matriarch, who celebrates her 81st birthday next month, was thanked personally yesterday for her generosity by actress Sarah O'Hare, National Breast Cancer Foundation patron.",1
7225,"Pacific Northwest has more than 800 employees, and Wells Fargo has 2,400 in Washington.","It has 800 employees, compared with Wells Fargo's 2,400.",1
10355,Webster Police Chief Gerald Pickering said the victims appeared to be customers of the bank.,"One of the shooting victims died, according to Webster Police Chief Gerald Pickering.",1
3946,Lakhani was charged with attempting to provide material support and resources to a terrorist group and acting as an arms broker without a license.,The moves came within four days of the crash and before the National Transportation Safety Board finished investigating.,0
1056,"The Globe reported that Smiledge hasn't spoken with his son, Joseph Druce, in eight years.",Smiledge said he hasn't spoken with his son in eight years and wants nothing to do with him.,1
8275,The judge said Congress is the best forum for weighing the prescription drug importation issue.,The judge said Congress is the best forum to address the high cost of prescription drugs.,1
8900,"Authorities identified the tipster as Richard Powell, who is imprisoned for killing his landlady in 1982.",Powell is serving time in a different case -- killing his landlady in 1982.,1
3011,"In addition, UDDI will have to significantly be improved to handle those aspects of SOAs.","Even then, UDDI will have to be improved to handle those features.",1
10556,"In recent years, Mr. Hampton continued to run into trouble, facing charges of fare-beating and credit-card theft.","In recent years, Hampton kept in touch with friends and stayed in trouble: He faced charges of fare-beating and credit-car theft.",1
5805,"Second-quarter sales grew 7 percent, to $645 million from $600 million in 2002.","Dubbed Project Mad Hatter, the Linux-based desktop is being promoted by Sun as a more secure and less expensive alternative to Windows.",0
2927,The Institute for Supply Management's manufacturing index dipped to 53.7 from 54.7 in August.,"""He really left us with a smile on his face and no last words ... He gave us each a kiss and that was it,"" she said.",0
8,Symantec yesterday bought SSL VPN appliance vendor SafeWeb for $26 million in cash.,Symantec Monday said it will acquire SSL VPN appliance provider Safeweb for $26 million in cash.,1
4315,The autopsy was ordered sealed at the request of both the prosecution and defense.,Girolami ordered the records conditionally sealed May 15 at the request of prosecution and defense attorneys.,1
3219,"The greenback scored beefy gains against the euro, yen and Swiss franc despite weaker-than-expected September U.S. retail sales figures.","The dollar gained against the euro, yen and Swiss franc after September U.S. retail sales figures came in slightly weaker than consensus forecasts.",1
3315,Hunt's attorneys filed a motion late Monday in Forsyth Superior Court to have Hunt's murder conviction thrown out.,Hunt's attorneys filed a motion Monday seeking to have Hunt's conviction thrown out based on the new evidence.,1
96,"The survey of 60,000 people, conducted in 2001 and 2002, found 91 percent of commuters use their own car or truck.","The Transportation Department survey of 60,000 people, conducted in 2001 and 2002, found 91 percent of people who commute use their own cars or trucks.",1
11234,"At a hearing Wednesday morning, High Court Judge Frank Kapanda ordered the men released on bail immediately.","U.S. District Judge William M. Hoeveler's removal by his superior was a victory for U.S. Sugar Corp., which led the fight against Hoeveler.",0
426,"As he left court, McCartney cast one long angry glare at Amrozi, who almost hid behind his lawyer to the side.","As he left the court, McCartney cast a long, angry glare at Amrozi, who tried to hide behind his lawyer.",1
1669,Also at increased risk are those with suppressed immune systems due to illness or medicines.,"Investigators uncovered a 4-inch bone fragment Thursday night, but authorities said it was from an animal.",0
4128,"Under the legislation, a physician who performs the procedure could face up to two years in prison.","SP2 is basically about security enhancements to Windows, such as the improved Internet Connection Firewall (ICF).",0
7055,"Symbol's former chief accounting officer, Robert Korkuc, is expected to plead guilty in a federal court in Long Island later Thursday, according to reports.",But Amrozi did not reveal and was not asked the company's or his boss's name.,0
4537,"Two Kuwaitis and six Palestinians with Jordanian passports were among the suspects, the official said.","They include two Kuwaitis and six Palestinians with Jordanian passports, and the remainder are Iraqis and Saudis, the official said.",1
8211,"Under the proposed stock for stock transaction, LendingTree shareholders will get 0.6199 shares of USAI common stock for each share of LendingTree common stock.","A coalition of campaign groups, including the militant national students body, is backing the action and is mobilising for protests.",0
7954,Stanford (46-15) takes on South Carolina today at 11 a.m. in the first game of the College World Series.,Stanford (46-15) plays South Carolina (44-20) on Friday in the opening game of the double-elimination tournament.,1
7074,"RT Jones analyst Juli Niemann said Grant was ""the one we were all pulling for.","He has a very good reputation,"" RT Jones analyst Juli Niemann said of Grant.",1
5284,"Agents found more than 1,000 credit cards and credit card duplicating machines during a search of Ragin's address.","When Ragin's address was raided, authorities found more than 1,000 credit cards and duplicating machines.",1
979,"Clinton did not mention that two Democratic senators, Charles Robb of Virginia and Wendell Ford of Kentucky, voted to shelve the McCain bill.","""It's nasty,"" said JoAnn Marquis, visiting with her husband from Salem, Mass. ""After what happened here .",0
1042,"The government recently shelved peace talks with the MILF, being brokered by Malaysia, after a string of attacks, including three bombings, on Mindanao.","The government recently shelved peace talks being brokered by neighbouring Malaysia after a spate of attacks on Mindanao, including three deadly bombings, that it blamed on the MILF.",1
8086,"Goldman offered the shares for sale to institutional investors at $13.15 each, said the traders, who received calls from the securities firm's sales force.","If convicted, Parson faces up to 10 years in federal prison and a fine of up to $250,000.",0
3110,"Writing in the journal Geophysical Research Letters, Vincent's team said all of the fresh water poured out of the 20-mile-long Disraeli Fjord.","""We disagree with the judge's decision on notice for Engine Company 261,"" said a statement by Michael A. Cardozo, the city's corporation counsel.",0
3403,"Mr Li, deputy chairman of Cheung Kong Holdings, is the son of Hong Kong billionaire Li Ka-shing.",Li is the deputy chairman of Cheung Kong (Holdings) Ltd. <0001.HK>.,1
2714,"I think he has to disembrace Putin and put him on notice that he is taking the country in the wrong direction,"" Soros said.","The dollar fell as low as $1.1624 per euro from $1.1486 on Friday, and traded at $1.1594 at 10:15 a.m. in London.",0
